date,unrate,jobOpen
12/1/2000,3.9,4.934
1/1/2001,4.2,5.273
2/1/2001,4.2,4.706
3/1/2001,4.3,4.618
4/1/2001,4.4,4.668
5/1/2001,4.3,4.444
6/1/2001,4.5,4.232
7/1/2001,4.6,4.354
8/1/2001,4.9,4.095
9/1/2001,5,3.973
10/1/2001,5.3,3.594
11/1/2001,5.5,3.545
12/1/2001,5.7,3.586
1/1/2002,5.7,3.587
2/1/2002,5.7,3.412
3/1/2002,5.7,3.605
4/1/2002,5.9,3.357
5/1/2002,5.8,3.525
6/1/2002,5.8,3.325
7/1/2002,5.8,3.343
8/1/2002,5.7,3.462
9/1/2002,5.7,3.319
10/1/2002,5.7,3.502
11/1/2002,5.9,3.585
12/1/2002,6,3.074
1/1/2003,5.8,3.686
2/1/2003,5.9,3.402
3/1/2003,5.9,3.101
4/1/2003,6,3.182
5/1/2003,6.1,3.201
6/1/2003,6.3,3.356
7/1/2003,6.2,3.195
8/1/2003,6.1,3.239
9/1/2003,6.1,3.054
10/1/2003,6,3.196
11/1/2003,5.8,3.316
12/1/2003,5.7,3.334
1/1/2004,5.7,3.391
2/1/2004,5.6,3.437
3/1/2004,5.8,3.42
4/1/2004,5.6,3.466
5/1/2004,5.6,3.658
6/1/2004,5.6,3.384
7/1/2004,5.5,3.835
8/1/2004,5.4,3.578
9/1/2004,5.4,3.704
10/1/2004,5.5,3.779
11/1/2004,5.4,3.456
12/1/2004,5.4,3.846
1/1/2005,5.3,3.595
2/1/2005,5.4,3.842
3/1/2005,5.2,3.891
4/1/2005,5.2,4.115
5/1/2005,5.1,3.824
6/1/2005,5,4.018
7/1/2005,5,4.162
8/1/2005,4.9,4.085
9/1/2005,5,4.227
10/1/2005,5,4.23
11/1/2005,5,4.341
12/1/2005,4.9,4.249
1/1/2006,4.7,4.278
2/1/2006,4.8,4.308
3/1/2006,4.7,4.537
4/1/2006,4.7,4.495
5/1/2006,4.6,4.432
6/1/2006,4.6,4.331
7/1/2006,4.7,4.081
8/1/2006,4.7,4.411
9/1/2006,4.5,4.498
10/1/2006,4.4,4.454
11/1/2006,4.5,4.622
12/1/2006,4.4,4.552
1/1/2007,4.6,4.59
2/1/2007,4.5,4.481
3/1/2007,4.4,4.657
4/1/2007,4.5,4.534
5/1/2007,4.4,4.531
6/1/2007,4.6,4.639
7/1/2007,4.7,4.43
8/1/2007,4.6,4.508
9/1/2007,4.7,4.481
10/1/2007,4.7,4.278
11/1/2007,4.7,4.278
12/1/2007,5,4.323
1/1/2008,5,4.223
2/1/2008,4.9,4.039
3/1/2008,5.1,4.012
4/1/2008,5,3.85
5/1/2008,5.4,4
6/1/2008,5.6,3.67
7/1/2008,5.8,3.762
8/1/2008,6.1,3.584
9/1/2008,6.1,3.21
10/1/2008,6.5,3.273
11/1/2008,6.8,3.059
12/1/2008,7.3,3.049
1/1/2009,7.8,2.763
2/1/2009,8.3,2.794
3/1/2009,8.7,2.493
4/1/2009,9,2.271
5/1/2009,9.4,2.413
6/1/2009,9.5,2.388
7/1/2009,9.5,2.146
8/1/2009,9.6,2.294
9/1/2009,9.8,2.434
10/1/2009,10,2.376
11/1/2009,9.9,2.419
12/1/2009,9.9,2.49
1/1/2010,9.8,2.706
2/1/2010,9.8,2.561
3/1/2010,9.9,2.652
4/1/2010,9.9,3.097
5/1/2010,9.6,2.9
6/1/2010,9.4,2.728
7/1/2010,9.4,2.929
8/1/2010,9.5,2.869
9/1/2010,9.5,2.782
10/1/2010,9.4,3.026
11/1/2010,9.8,3.072
12/1/2010,9.3,2.909
1/1/2011,9.2,2.917
2/1/2011,9,3.065
3/1/2011,9,3.132
4/1/2011,9.1,3.099
5/1/2011,9,3.032
6/1/2011,9.1,3.194
7/1/2011,9,3.417
8/1/2011,9,3.138
9/1/2011,9,3.557
10/1/2011,8.8,3.422
11/1/2011,8.6,3.215
12/1/2011,8.5,3.527
1/1/2012,8.3,3.653
2/1/2012,8.3,3.517
3/1/2012,8.2,3.837
4/1/2012,8.2,3.627
5/1/2012,8.2,3.696
6/1/2012,8.2,3.785
7/1/2012,8.2,3.587
8/1/2012,8,3.637
9/1/2012,7.8,3.614
10/1/2012,7.8,3.729
11/1/2012,7.7,3.741
12/1/2012,7.9,3.64
1/1/2013,8,3.77
2/1/2013,7.7,4.023
3/1/2013,7.5,3.891
4/1/2013,7.6,3.84
5/1/2013,7.5,3.829
6/1/2013,7.5,3.864
7/1/2013,7.3,3.829
8/1/2013,7.2,3.893
9/1/2013,7.2,3.955
10/1/2013,7.2,4.076
11/1/2013,7,4.073
12/1/2013,6.7,3.977
1/1/2014,6.6,3.906
2/1/2014,6.7,4.16
3/1/2014,6.6,4.21
4/1/2014,6.2,4.417
5/1/2014,6.3,4.608
6/1/2014,6.1,4.71
7/1/2014,6.2,4.726
8/1/2014,6.1,4.925
9/1/2014,5.9,4.678
10/1/2014,5.7,4.849
11/1/2014,5.8,4.886
12/1/2014,5.6,4.877
1/1/2015,5.7,4.965
2/1/2015,5.5,5.133
