"","Date","AAPL_Bloomberg","CLZ5 COMB Comdty","EURUSDV1M","SPX Index","USD Index","USDCNYV1M BGN Curncy","USDJPYV1M BGN Curncy","VIX Index"
"1","10/19/15",111.73,46.28,9.685,2033.66,94.928,3.76,9.355,14.98
"2","10/16/15",111.04,47.72,9.1725,2033.11,94.54,3.495,9.0725,15.05
"3","10/15/15",111.86,46.87,9.2825,2023.86,94.371,3.3425,9.5,16.05
"4","10/14/15",110.21,47.16,9.135,1994.24,93.931,3.3975,9.205,18.03
"5","10/13/15",111.79,47.15,9.2625,2003.69,94.759,3.445,8.78,17.67
"6","10/12/15",111.6,47.61,9.2775,2017.46,94.841,3.355,8.7,16.17
"7","10/9/15",112.12,50.14,9.31,2014.89,94.813,3.9,9,17.08
"8","10/8/15",109.5,50,9.465,2013.43,95.318,4.52,9.355,17.42
"9","10/7/15",110.78,48.4,9.4025,1995.83,95.497,4.515,9.5175,18.4
"10","10/6/15",111.31,49.02,9.56,1979.92,95.455,4.65,10.695,19.4
"11","10/5/15",110.78,46.75,9.6725,1987.05,96.106,4.61,10.71,19.54
"12","10/2/15",110.38,46,9.7475,1951.36,95.83,4.665,10.6025,20.94
"13","10/1/15",109.58,45.22,10.16,1923.82,96.185,4.72,10.7825,22.55
"14","9/30/15",110.3,45.56,10.625,1920.03,96.35,4.685,10.815,24.5
"15","9/29/15",109.06,45.64,10.925,1884.09,95.855,5,10.945,26.83
"16","9/25/15",114.71,46.19,10.5475,1931.34,96.269,4.995,10.2775,23.62
"17","9/24/15",115,45.48,10.3775,1932.24,95.994,5.2775,10.5775,23.47
"18","9/23/15",114.32,45.1,10.72,1938.76,96.068,5.4375,10.0925,22.13
"19","9/22/15",113.4,46.92,11.005,1942.74,96.283,4.075,10.245,22.44
"20","9/21/15",115.21,47.43,10.265,1966.97,95.894,4.095,9.92,20.14
"21","9/18/15",113.45,45.56,9.97,1958.03,94.863,4.1575,10.075,22.28
"22","9/17/15",113.92,47.66,10.5475,1990.2,94.55,4.7075,9.81,21.14
"23","9/16/15",116.41,47.97,11.26,1995.31,95.42,4.86,10.7075,21.35
"24","9/15/15",116.28,45.53,11.335,1978.09,95.611,5.315,11.345,22.54
