Date,Last Price
10/20/15,113.77
10/19/15,111.73
10/16/15,111.04
10/15/15,111.86
10/14/15,110.21
10/13/15,111.79
10/12/15,111.6
10/9/15,112.12
10/8/15,109.5
10/7/15,110.78
10/6/15,111.31
10/5/15,110.78
10/2/15,110.38
10/1/15,109.58
9/30/15,110.3
9/29/15,109.06
9/28/15,112.44
9/25/15,114.71
9/24/15,115
9/23/15,114.32
9/22/15,113.4
9/21/15,115.21
9/18/15,113.45
9/17/15,113.92
9/16/15,116.41
9/15/15,116.28
9/14/15,115.31
9/11/15,114.21
9/10/15,112.57
9/9/15,110.15
9/8/15,112.31
9/4/15,109.27
9/3/15,110.37
9/2/15,112.34
9/1/15,107.72
8/31/15,112.76
8/28/15,113.29
8/27/15,112.92
8/26/15,109.69
8/25/15,103.74
8/24/15,103.12
8/21/15,105.76
8/20/15,112.65
8/19/15,115.01
8/18/15,116.5
8/17/15,117.16
8/14/15,115.96
8/13/15,115.15
8/12/15,115.24
8/11/15,113.49
8/10/15,119.72
8/7/15,115.52
8/6/15,115.13
8/5/15,115.4
8/4/15,114.64
8/3/15,118.44
7/31/15,121.3
7/30/15,122.37
7/29/15,122.99
7/28/15,123.38
7/27/15,122.77
7/24/15,124.5
7/23/15,125.16
7/22/15,125.22
7/21/15,130.75
7/20/15,132.07
7/17/15,129.62
7/16/15,128.51
7/15/15,126.82
7/14/15,125.61
7/13/15,125.66
7/10/15,123.28
7/9/15,120.07
7/8/15,122.57
7/7/15,125.69
7/6/15,126
7/2/15,126.44
7/1/15,126.6
6/30/15,125.425
6/29/15,124.53
6/26/15,126.75
6/25/15,127.5
6/24/15,128.11
6/23/15,127.03
6/22/15,127.61
6/19/15,126.6
6/18/15,127.88
6/17/15,127.3
6/16/15,127.6
6/15/15,126.92
6/12/15,127.17
6/11/15,128.59
6/10/15,128.88
6/9/15,127.42
6/8/15,127.8
6/5/15,128.65
6/4/15,129.36
6/3/15,130.12
6/2/15,129.96
6/1/15,130.535
5/29/15,130.28
5/28/15,131.78
5/27/15,132.045
5/26/15,129.62
5/22/15,132.54
5/21/15,131.39
5/20/15,130.06
5/19/15,130.07
5/18/15,130.19
5/15/15,128.77
5/14/15,128.95
5/13/15,126.01
5/12/15,125.865
5/11/15,126.32
5/8/15,127.62
5/7/15,125.26
5/6/15,125.01
5/5/15,125.8
5/4/15,128.7
5/1/15,128.95
4/30/15,125.15
4/29/15,128.64
4/28/15,130.56
4/27/15,132.65
4/24/15,130.28
4/23/15,129.67
4/22/15,128.62
4/21/15,126.91
4/20/15,127.6
4/17/15,124.75
4/16/15,126.17
4/15/15,126.78
4/14/15,126.3
4/13/15,126.85
4/10/15,127.1
4/9/15,126.56
4/8/15,125.6
4/7/15,126.01
4/6/15,127.35
4/2/15,125.32
4/1/15,124.25
3/31/15,124.43
3/30/15,126.37
3/27/15,123.25
3/26/15,124.24
3/25/15,123.38
3/24/15,126.69
3/23/15,127.21
3/20/15,125.9
3/19/15,127.495
3/18/15,128.47
3/17/15,127.04
3/16/15,124.95
3/13/15,123.59
3/12/15,124.45
3/11/15,122.24
3/10/15,124.51
3/9/15,127.14
3/6/15,126.6
3/5/15,126.41
3/4/15,128.54
3/3/15,129.36
3/2/15,129.09
2/27/15,128.46
2/26/15,130.415
2/25/15,128.79
2/24/15,132.17
2/23/15,133
2/20/15,129.495
2/19/15,128.45
2/18/15,128.715
