Date,Last Price
10/20/15,46.29
10/19/15,46.28
10/16/15,47.72
10/15/15,46.87
10/14/15,47.16
10/13/15,47.15
10/12/15,47.61
10/9/15,50.14
10/8/15,50
10/7/15,48.4
10/6/15,49.02
10/5/15,46.75
10/2/15,46
10/1/15,45.22
9/30/15,45.56
9/29/15,45.64
9/28/15,44.87
9/25/15,46.19
9/24/15,45.48
9/23/15,45.1
9/22/15,46.92
9/21/15,47.43
9/18/15,45.56
9/17/15,47.66
9/16/15,47.97
9/15/15,45.53
9/14/15,44.9
9/11/15,45.8
9/10/15,47.04
9/9/15,45.48
9/8/15,47.24
9/4/15,47.23
9/3/15,47.92
9/2/15,47.52
9/1/15,46.69
8/31/15,50.77
8/28/15,46.86
8/27/15,44.28
8/26/15,40.2
8/25/15,40.64
8/24/15,39.65
8/21/15,41.91
8/20/15,42.9
8/19/15,43.01
8/18/15,44.91
8/17/15,44.47
8/14/15,45.24
8/13/15,45.16
8/12/15,45.94
8/11/15,45.68
8/10/15,47.32
8/7/15,45.85
8/6/15,46.54
8/5/15,46.84
8/4/15,47.36
8/3/15,46.87
7/31/15,48.92
7/30/15,50.18
7/29/15,50.32
7/28/15,49.71
7/27/15,49.21
7/24/15,49.91
7/23/15,50.24
7/22/15,51.03
7/21/15,52.57
7/20/15,52.09
7/17/15,52.7
7/16/15,52.74
7/15/15,53.27
7/14/15,54.98
7/13/15,54.27
7/10/15,54.68
7/9/15,54.6
7/8/15,53.46
7/7/15,53.9
7/6/15,54
7/2/15,58.45
7/1/15,58.55
6/30/15,60.78
6/29/15,59.68
6/26/15,60.94
6/25/15,60.91
6/24/15,61.54
6/23/15,62.31
6/22/15,61.85
6/19/15,61.34
6/18/15,62.14
6/17/15,61.71
6/16/15,61.67
6/15/15,61.15
6/12/15,61.44
6/11/15,62.33
6/10/15,62.83
6/9/15,61.79
6/8/15,59.93
6/5/15,60.86
6/4/15,59.53
6/3/15,60.93
6/2/15,62.25
6/1/15,61.18
5/29/15,61.51
5/28/15,59
5/27/15,58.87
5/26/15,59.73
5/22/15,61.3
5/21/15,62.21
5/20/15,60.8
5/19/15,59.91
5/18/15,61.86
5/15/15,62.43
5/14/15,62.84
5/13/15,63.31
5/12/15,63.58
5/11/15,62.28
5/8/15,62.23
5/7/15,61.9
5/6/15,64.01
5/5/15,63.75
5/4/15,62.78
5/1/15,62.94
4/30/15,63.07
4/29/15,62.44
4/28/15,61.52
4/27/15,61.77
4/24/15,62.03
4/23/15,62.04
4/22/15,60.65
4/21/15,60.5
4/20/15,61.49
4/17/15,60.71
4/16/15,61.41
4/15/15,60.9
4/14/15,58.55
4/13/15,57.8
4/10/15,57.62
4/9/15,56.72
4/8/15,55.8
4/7/15,58.54
4/6/15,57.75
4/2/15,55.4
4/1/15,56.74
3/31/15,54.87
3/30/15,55.79
3/27/15,55.61
3/26/15,57.7
3/25/15,55.74
3/24/15,54.54
3/23/15,54.88
3/20/15,54.44
3/19/15,53.35
3/18/15,54.85
3/17/15,52.77
3/16/15,53.84
3/13/15,54.77
3/12/15,56.52
3/11/15,56.91
3/10/15,56.48
3/9/15,57.94
3/6/15,58.34
3/5/15,59.07
3/4/15,59.64
3/3/15,60.01
3/2/15,58.83
2/27/15,59.99
2/26/15,58.31
2/25/15,60.1
2/24/15,58.3
2/23/15,58.57
2/20/15,58.82
2/19/15,58.98
2/18/15,59.93
2/17/15,61.43
2/13/15,61.26
2/12/15,60.47
2/11/15,58.4
2/10/15,59.13
2/9/15,60.96
2/6/15,60.11
2/5/15,59.25
2/4/15,57.78
2/3/15,61.28
2/2/15,58.16
1/30/15,56.79
1/29/15,53.51
1/28/15,53.33
1/27/15,54.29
1/26/15,53.32
1/23/15,53.38
1/22/15,53.41
1/21/15,53.99
1/20/15,52.89
1/16/15,55.12
1/15/15,53.27
1/14/15,55.12
1/13/15,53.49
1/12/15,53.65
1/9/15,55.38
1/8/15,55.3
1/7/15,55.15
1/6/15,55.01
1/5/15,57.07
1/2/15,59.05
12/31/14,59.45
12/30/14,59.66
12/29/14,59.19
12/26/14,60.01
12/24/14,60.78
12/23/14,61.46
12/22/14,59.74
12/19/14,60.83
12/18/14,58.1
12/17/14,60.04
12/16/14,59.56
12/15/14,60.17
12/12/14,61.46
12/11/14,63.37
12/10/14,63.82
12/9/14,66.05
12/8/14,65.49
12/5/14,67.98
12/4/14,68.75
12/3/14,69.27
12/2/14,69.04
12/1/14,70.7
11/28/14,68.22
11/26/14,74.59
11/25/14,74.95
11/24/14,76.33
11/21/14,76.89
11/20/14,75.86
11/19/14,75.01
11/18/14,75.55
11/17/14,76.31
11/14/14,76.3
11/13/14,75.01
11/12/14,77.95
11/11/14,78.72
11/10/14,78.56
11/7/14,79.3
11/6/14,78.61
11/5/14,78.79
11/4/14,78.31
11/3/14,79.48
10/31/14,80.27
10/30/14,80.41
10/29/14,81.09
10/28/14,80.51
10/27/14,80.04
10/24/14,80.33
10/23/14,80.39
10/22/14,78.89
10/21/14,79.54
10/20/14,79.39
10/17/14,79.99
10/16/14,79.86
10/15/14,79.17
10/14/14,80.26
10/13/14,83.69
10/10/14,83.61
10/9/14,83.64
10/8/14,84.67
10/7/14,85.2
10/6/14,85.74
10/3/14,84.97
10/2/14,86.25
10/1/14,86.73
9/30/14,87.06
9/29/14,89.3
9/26/14,89.35
9/25/14,89.31
9/24/14,89.51
9/23/14,89.3
9/22/14,89.16
9/19/14,89.67
9/18/14,89.64
9/17/14,90.4
9/16/14,90.85
9/15/14,89.83
9/12/14,89.56
9/11/14,89.68
9/10/14,89.38
9/9/14,90.01
9/8/14,90.24
9/5/14,90.63
9/4/14,90.93
9/3/14,91.66
9/2/14,90.1
8/29/14,91.62
8/28/14,91.16
8/27/14,91.3
8/26/14,91.47
8/25/14,91.13
8/22/14,91.06
8/21/14,90.68
8/20/14,90.55
8/19/14,90.53
8/18/14,90.72
8/15/14,91.61
8/14/14,90.99
8/13/14,92.81
8/12/14,92.3
8/11/14,92.64
8/8/14,92.46
8/7/14,92.63
8/6/14,92.15
8/5/14,91.99
8/4/14,92.11
8/1/14,91.63
7/31/14,91.81
7/30/14,92.47
7/29/14,92.77
7/28/14,93.04
7/25/14,93.93
7/24/14,93.56
7/23/14,94.03
7/22/14,93.53
7/21/14,93.76
7/18/14,92.63
7/17/14,93.06
7/16/14,93.27
7/15/14,93.33
7/14/14,94.16
7/11/14,93.49
7/10/14,94.34
7/9/14,94.1
