Date,PX_LAST
10/20/15,9.48
10/19/15,9.685
10/16/15,9.1725
10/15/15,9.2825
10/14/15,9.135
10/13/15,9.2625
10/12/15,9.2775
10/9/15,9.31
10/8/15,9.465
10/7/15,9.4025
10/6/15,9.56
10/5/15,9.6725
10/2/15,9.7475
10/1/15,10.16
9/30/15,10.625
9/29/15,10.925
9/28/15,10.5275
9/25/15,10.5475
9/24/15,10.3775
9/23/15,10.72
9/22/15,11.005
9/21/15,10.265
9/18/15,9.97
9/17/15,10.5475
9/16/15,11.26
9/15/15,11.335
9/14/15,11.555
9/11/15,11.2475
9/10/15,11.34
9/9/15,11.5075
9/8/15,11.785
9/7/15,11.91
9/4/15,11.59
9/3/15,11.775
9/2/15,12.075
9/1/15,12.565
8/31/15,12.335
8/28/15,11.73
8/27/15,12.19
8/26/15,12.7225
8/25/15,12.0925
8/24/15,12.2975
8/21/15,10.2725
8/20/15,9.825
8/19/15,9.455
8/18/15,9.735
8/17/15,9.6325
8/14/15,9.33
8/13/15,9.5875
8/12/15,10.245
8/11/15,10.175
8/10/15,9.745
8/7/15,10.0775
8/6/15,10.52
8/5/15,10.98
8/4/15,10.5525
8/3/15,10.67
7/31/15,9.985
7/30/15,10.02
7/29/15,9.825
7/28/15,10.3
7/27/15,10.6075
7/24/15,10.3775
7/23/15,10.345
7/22/15,10.385
7/21/15,9.97
7/20/15,9.9425
7/17/15,9.745
7/16/15,10.67
7/15/15,11.1475
7/14/15,11.6625
7/13/15,11.76
7/10/15,12.055
7/9/15,12.98
7/8/15,13.41
7/7/15,13.14
7/6/15,12.7175
7/3/15,12.7275
7/2/15,12.05
7/1/15,12.795
6/30/15,13.4875
6/29/15,13.455
6/26/15,11.7825
6/25/15,11.2775
6/24/15,11.415
6/23/15,11.9775
6/22/15,11.9475
6/19/15,12.51
6/18/15,11.6625
6/17/15,12.0725
6/16/15,13.44
6/15/15,14.05
6/12/15,13.6875
6/11/15,13.24
6/10/15,13.9025
6/9/15,13.5975
6/8/15,13.355
6/5/15,13.0325
6/4/15,12.855
6/3/15,12.895
6/2/15,13.0025
6/1/15,12.6725
5/29/15,11.8325
5/28/15,12.1275
5/27/15,12.6875
5/26/15,13.28
5/25/15,13.1625
5/22/15,12.5675
5/21/15,11.9775
5/20/15,12.7875
5/19/15,12.995
5/18/15,11.785
5/15/15,10.925
5/14/15,11.0225
5/13/15,10.705
5/12/15,11.25
5/11/15,11.44
5/8/15,11.295
5/7/15,12.825
5/6/15,12.765
5/5/15,12.555
5/4/15,12.91
5/1/15,12.65
4/30/15,12.025
4/29/15,11.09
4/28/15,11.165
4/27/15,11.935
4/24/15,11.91
4/23/15,11.9125
4/22/15,12.385
4/21/15,12.505
4/20/15,12.39
4/17/15,11.97
4/16/15,12.06
4/15/15,11.69
4/14/15,11.78
4/13/15,12.1
4/10/15,11.58
4/9/15,11.095
4/8/15,10.685
