Date,Last Price
10/20/15,1178
10/19/15,1173.3
10/16/15,1183.6
10/15/15,1187.9
10/14/15,1180.1
10/13/15,1165.8
10/12/15,1164.9
10/9/15,1156.3
10/8/15,1144.7
10/7/15,1149
10/6/15,1146.8
10/5/15,1138.1
10/2/15,1137.1
10/1/15,1114.2
9/30/15,1115.5
9/29/15,1127.1
9/28/15,1131.7
9/25/15,1145.7
9/24/15,1153.8
9/23/15,1131.6
9/22/15,1125
9/21/15,1133.1
9/18/15,1138.1
9/17/15,1117.1
9/16/15,1119
9/15/15,1102.6
9/14/15,1107.5
9/11/15,1103.3
9/10/15,1109.3
9/9/15,1102
9/8/15,1120.7
9/4/15,1120.9
9/3/15,1124
9/2/15,1133.1
9/1/15,1139.3
8/31/15,1132
8/28/15,1133.5
8/27/15,1122.2
8/26/15,1124.2
8/25/15,1137.9
8/24/15,1153.1
8/21/15,1159.2
8/20/15,1152.8
8/19/15,1127.6
8/18/15,1116.6
8/17/15,1118.1
8/14/15,1112.4
8/13/15,1115.3
8/12/15,1123.3
8/11/15,1107.5
8/10/15,1103.8
8/7/15,1093.8
8/6/15,1089.8
8/5/15,1085.3
8/4/15,1090.3
8/3/15,1089
7/31/15,1094.7
7/30/15,1088.4
7/29/15,1092.9
7/28/15,1096.3
7/27/15,1096.6
7/24/15,1085.6
7/23/15,1094.4
7/22/15,1092
7/21/15,1104
7/20/15,1107.4
7/17/15,1132.5
7/16/15,1144.8
7/15/15,1148.4
7/14/15,1154.5
7/13/15,1156.5
7/10/15,1159
7/9/15,1160.3
7/8/15,1164.6
7/7/15,1153.7
7/6/15,1174.3
7/2/15,1164.6
7/1/15,1170.4
6/30/15,1172.8
6/29/15,1180.1
6/26/15,1174.3
6/25/15,1172.8
6/24/15,1173.9
6/23/15,1177.6
6/22/15,1185.1
6/19/15,1202.9
6/18/15,1203
6/17/15,1177.8
6/16/15,1181.9
6/15/15,1186.8
6/12/15,1180.2
6/11/15,1181.4
6/10/15,1187.5
6/9/15,1178.5
6/8/15,1174.5
6/5/15,1169
6/4/15,1176.1
6/3/15,1185.8
6/2/15,1195.3
6/1/15,1189.6
5/29/15,1190.7
5/28/15,1189.7
5/27/15,1187.4
5/26/15,1188.7
5/22/15,1205.8
5/21/15,1206
5/20/15,1210.7
5/19/15,1208.6
5/18/15,1229.5
5/15/15,1227.2
5/14/15,1227.1
5/13/15,1220.1
5/12/15,1194.3
5/11/15,1184.9
5/8/15,1190.9
5/7/15,1184.2
5/6/15,1192.3
5/5/15,1195.2
5/4/15,1188.7
5/1/15,1176.3
4/30/15,1184.2
4/29/15,1211.8
4/28/15,1215.8
4/27/15,1205
4/24/15,1176.8
4/23/15,1196.2
4/22/15,1188.7
4/21/15,1204.9
4/20/15,1195.5
4/17/15,1205
4/16/15,1199.8
4/15/15,1203.1
4/14/15,1194.4
4/13/15,1201.1
4/10/15,1206.4
4/9/15,1195.2
4/8/15,1204.7
4/7/15,1212.3
4/6/15,1220.3
4/2/15,1202.6
4/1/15,1209.9
3/31/15,1184.9
3/30/15,1187
3/27/15,1202.4
3/26/15,1207.3
3/25/15,1199.6
3/24/15,1193.6
3/23/15,1189.9
3/20/15,1186.9
3/19/15,1171.2
3/18/15,1153.4
3/17/15,1150.4
3/16/15,1155.4
3/13/15,1154.7
3/12/15,1154.3
