Date,Last Price
11/16/15,0.1451
11/9/15,0.135
11/2/15,0.11
10/26/15,0.02
10/19/15,0.015
10/13/15,0
10/5/15,0
9/28/15,0.015
9/21/15,0.005
9/14/15,0.055
9/8/15,0.075
8/31/15,0.095
8/24/15,0.05
8/17/15,0.105
8/10/15,0.125
8/3/15,0.075
7/27/15,0.05
7/20/15,0.03
7/13/15,0.015
7/6/15,0.015
6/29/15,0.015
6/22/15,0.01
6/15/15,0.01
6/8/15,0.015
6/1/15,0.01
5/26/15,0.015
5/18/15,0.015
5/11/15,0.02
5/4/15,0.015
4/27/15,0.02
4/20/15,0.025
4/13/15,0.025
4/6/15,0.02
3/30/15,0.035
3/23/15,0.02
3/16/15,0.04
3/9/15,0.015
3/2/15,0.015
2/23/15,0.02
2/17/15,0.015
2/9/15,0.02
2/2/15,0.015
1/26/15,0.02
1/20/15,0.025
1/12/15,0.025
1/5/15,0.03
12/29/14,0.04
12/22/14,0.055
12/15/14,0.035
12/8/14,0.025
12/1/14,0.025
11/24/14,0.02
11/17/14,0.025
11/10/14,0.025
11/3/14,0.02
10/27/14,0.02
10/20/14,0.02
10/14/14,0.01
10/6/14,0.015
9/29/14,0.015
9/22/14,0.01
9/15/14,0.015
9/8/14,0.02
9/2/14,0.025
8/25/14,0.03
8/18/14,0.03
8/11/14,0.03
8/4/14,0.025
7/28/14,0.03
7/21/14,0.025
7/14/14,0.025
7/7/14,0.03
6/30/14,0.04
6/23/14,0.025
6/16/14,0.035
6/9/14,0.035
6/2/14,0.035
5/27/14,0.03
5/19/14,0.025
5/12/14,0.025
5/5/14,0.025
4/28/14,0.02
4/21/14,0.03
4/14/14,0.035
4/7/14,0.03
3/31/14,0.045
3/24/14,0.05
3/17/14,0.05
3/10/14,0.05
3/3/14,0.05
2/24/14,0.045
2/18/14,0.05
2/10/14,0.095
2/3/14,0.04
1/27/14,0.055
1/21/14,0.035
1/13/14,0.035
1/6/14,0.055
12/30/13,0.065
12/23/13,0.07
12/16/13,0.065
12/9/13,0.07
12/3/13,0.075
11/25/13,0.08
11/18/13,0.08
11/12/13,0.075
11/4/13,0.05
10/28/13,0.045
10/21/13,0.035
10/15/13,0.13
10/7/13,0.035
9/30/13,0.01
9/23/13,0.02
9/16/13,0.01
9/9/13,0.02
9/3/13,0.03
8/26/13,0.04
8/19/13,0.05
8/12/13,0.055
8/5/13,0.04
7/29/13,0.03
7/22/13,0.035
7/15/13,0.04
7/8/13,0.045
7/1/13,0.05
6/24/13,0.06
6/17/13,0.045
6/10/13,0.045
6/3/13,0.045
5/28/13,0.045
5/20/13,0.045
5/13/13,0.045
5/6/13,0.04
4/29/13,0.05
4/22/13,0.05
4/15/13,0.055
4/8/13,0.065
4/1/13,0.075
3/25/13,0.075
3/18/13,0.085
3/11/13,0.095
3/4/13,0.11
2/25/13,0.125
2/19/13,0.115
2/11/13,0.085
2/4/13,0.07
1/28/13,0.075
1/22/13,0.075
1/14/13,0.075
1/7/13,0.065
1/2/13,0.075
12/26/12,0.085
12/17/12,0.04
12/10/12,0.09
12/3/12,0.09
11/26/12,0.1
11/19/12,0.09
11/13/12,0.105
11/5/12,0.105
10/29/12,0.125
10/22/12,0.1
10/15/12,0.105
10/9/12,0.1
10/1/12,0.085
9/24/12,0.11
9/17/12,0.105
9/10/12,0.1
9/4/12,0.1
8/27/12,0.105
8/20/12,0.105
8/13/12,0.11
8/6/12,0.1
7/30/12,0.11
7/23/12,0.095
