Date,Last Price
10/20/15,94.913
10/19/15,94.928
10/16/15,94.54
10/15/15,94.371
10/14/15,93.931
10/13/15,94.759
10/12/15,94.841
10/9/15,94.813
10/8/15,95.318
10/7/15,95.497
10/6/15,95.455
10/5/15,96.106
10/2/15,95.83
10/1/15,96.185
9/30/15,96.35
9/29/15,95.855
9/28/15,96.034
9/25/15,96.269
9/24/15,95.994
9/23/15,96.068
9/22/15,96.283
9/21/15,95.894
9/18/15,94.863
9/17/15,94.55
9/16/15,95.42
9/15/15,95.611
9/14/15,95.246
9/11/15,95.194
9/10/15,95.456
9/9/15,96.012
9/8/15,95.985
9/7/15,96.229
9/4/15,96.229
9/3/15,96.405
9/2/15,95.828
9/1/15,95.45
8/31/15,95.824
8/28/15,96.106
8/27/15,95.61
8/26/15,95.1
8/25/15,94.53
8/24/15,93.332
8/21/15,95.008
8/20/15,95.98
8/19/15,96.359
8/18/15,97.04
8/17/15,96.806
8/14/15,96.52
8/13/15,96.445
8/12/15,96.262
8/11/15,97.29
8/10/15,97.159
8/7/15,97.563
8/6/15,97.833
8/5/15,97.958
8/4/15,97.931
8/3/15,97.494
7/31/15,97.336
7/30/15,97.56
7/29/15,96.976
7/28/15,96.772
7/27/15,96.502
7/24/15,97.244
7/23/15,97.115
7/22/15,97.598
7/21/15,97.328
7/20/15,98.029
7/17/15,97.862
7/16/15,97.668
7/15/15,97.166
7/14/15,96.643
7/13/15,96.858
7/10/15,96.025
7/9/15,96.606
7/8/15,96.294
7/7/15,96.865
7/6/15,96.298
7/3/15,96.113
7/2/15,96.113
7/1/15,96.31
6/30/15,95.485
6/29/15,94.79
6/26/15,95.472
6/25/15,95.187
6/24/15,95.264
6/23/15,95.432
6/22/15,94.329
6/19/15,94.085
6/18/15,94.042
6/17/15,94.296
6/16/15,94.999
6/15/15,94.81
6/12/15,94.972
6/11/15,94.976
6/10/15,94.646
6/9/15,95.166
6/8/15,95.299
6/5/15,96.306
6/4/15,95.461
6/3/15,95.465
6/2/15,95.835
6/1/15,97.392
5/29/15,96.907
5/28/15,96.965
5/27/15,97.371
5/26/15,97.299
5/25/15,96.014
5/22/15,96.014
5/21/15,95.255
5/20/15,95.448
5/19/15,95.267
5/18/15,94.221
5/15/15,93.135
5/14/15,93.457
5/13/15,93.617
5/12/15,94.534
5/11/15,95.011
5/8/15,94.794
5/7/15,94.635
5/6/15,94.087
5/5/15,95.076
5/4/15,95.48
5/1/15,95.297
4/30/15,94.6
4/29/15,95.209
4/28/15,96.092
4/27/15,96.765
4/24/15,96.922
4/23/15,97.278
4/22/15,97.932
4/21/15,98.004
4/20/15,97.941
4/17/15,97.52
4/16/15,97.415
4/15/15,98.319
4/14/15,98.733
4/13/15,99.49
4/10/15,99.338
4/9/15,99.155
4/8/15,97.94
4/7/15,97.83
4/6/15,96.777
4/3/15,96.545
4/2/15,97.436
4/1/15,98.185
3/31/15,98.357
3/30/15,97.975
3/27/15,97.291
3/26/15,97.436
3/25/15,96.979
3/24/15,97.193
3/23/15,97.033
3/20/15,97.909
3/19/15,99.26
3/18/15,98.55
3/17/15,99.585
3/16/15,99.604
3/13/15,100.33
3/12/15,99.435
3/11/15,99.795
3/10/15,98.618
