Date,PX_LAST
10/19/15,3.76
10/16/15,3.495
10/15/15,3.3425
10/14/15,3.3975
10/13/15,3.445
10/12/15,3.355
10/9/15,3.9
10/8/15,4.52
10/7/15,4.515
10/6/15,4.65
10/5/15,4.61
10/2/15,4.665
10/1/15,4.72
9/30/15,4.685
9/29/15,5
9/25/15,4.995
9/24/15,5.2775
9/23/15,5.4375
9/22/15,4.075
9/21/15,4.095
9/18/15,4.1575
9/17/15,4.7075
9/16/15,4.86
9/15/15,5.315
9/14/15,5.4475
9/11/15,5.76
9/10/15,6.0425
9/9/15,6.11
9/8/15,6.165
9/7/15,6.31
9/4/15,6.165
9/3/15,6.02
9/2/15,5.81
9/1/15,5.8725
8/31/15,5.805
8/28/15,6.19
8/27/15,7.06
8/26/15,7.93
8/25/15,7.8575
8/24/15,7.105
8/21/15,5.27
8/20/15,5.025
8/19/15,4.595
8/18/15,4.6575
8/17/15,5.22
8/14/15,5.53
8/13/15,7.805
8/12/15,9.715
8/11/15,6.34
8/10/15,1.1625
8/7/15,1.1725
8/6/15,1.1725
8/5/15,1.205
8/4/15,1.2825
8/3/15,1.515
7/31/15,1.505
7/30/15,1.265
7/29/15,1.23
7/28/15,1.2425
7/27/15,1.245
7/24/15,1.175
7/23/15,1.0225
7/22/15,1.0525
7/21/15,1.035
7/20/15,1.11
7/17/15,1.05
7/16/15,1.105
7/15/15,1.075
7/14/15,1.155
7/13/15,1.225
7/10/15,1.2225
7/9/15,1.24
7/8/15,1.3525
7/7/15,1.35
7/6/15,1.105
7/3/15,1.065
7/2/15,1.07
7/1/15,1.085
6/30/15,1.1
6/29/15,1.095
6/26/15,1.08
6/25/15,1.0275
6/24/15,1.035
6/23/15,1.045
6/22/15,1.03
6/19/15,1.035
6/18/15,1.02
6/17/15,1.025
6/16/15,1.0025
6/15/15,1.0525
6/12/15,1.055
6/11/15,1.08
6/10/15,1.0775
6/9/15,1.1075
6/8/15,1.0925
6/5/15,1.0875
6/4/15,1.0875
6/3/15,1.055
6/2/15,1.0525
6/1/15,1.0925
5/29/15,1.085
5/28/15,1.085
5/27/15,1.1075
5/26/15,1.1775
5/25/15,1.4525
5/22/15,1.1775
5/21/15,1.1775
5/20/15,1.2225
5/19/15,1.2075
5/18/15,1.235
