Date,Last Price
11/19/15,9.035
11/18/15,9.44
11/17/15,9.3
11/16/15,8.035
11/13/15,7.715
11/12/15,7.69
11/11/15,7.72
11/10/15,7.89
11/9/15,7.8725
11/6/15,7.9875
11/5/15,7.9675
11/4/15,7.84
11/3/15,7.35
11/2/15,7.24
10/30/15,7.4825
10/29/15,9.1675
10/28/15,9.52
10/27/15,9.32
10/26/15,9.5375
10/23/15,9.52
10/22/15,9.0025
10/21/15,8.8325
10/20/15,8.885
10/19/15,9.355
10/16/15,9.0725
10/15/15,9.5
10/14/15,9.205
10/13/15,8.78
10/12/15,8.7
10/9/15,9
10/8/15,9.355
10/7/15,9.5175
10/6/15,10.695
10/5/15,10.71
10/2/15,10.6025
10/1/15,10.7825
9/30/15,10.815
9/29/15,10.945
9/28/15,10.295
9/25/15,10.2775
9/24/15,10.5775
9/23/15,10.0925
9/22/15,10.245
9/21/15,9.92
9/18/15,10.075
9/17/15,9.81
9/16/15,10.7075
9/15/15,11.345
9/14/15,11.9
9/11/15,11.385
9/10/15,11.5
9/9/15,11.375
9/8/15,11.53
9/7/15,11.795
9/4/15,11.65
9/3/15,10.5325
9/2/15,11.405
9/1/15,11.8225
8/31/15,10.5875
8/28/15,10.075
8/27/15,10.455
8/26/15,11.625
8/25/15,11.6
8/24/15,13.185
8/21/15,9.4675
8/20/15,7.3775
8/19/15,7.235
8/18/15,7.1975
8/17/15,7.14
8/14/15,7.285
8/13/15,7.305
8/12/15,8.025
8/11/15,7.455
8/10/15,6.995
8/7/15,7.13
8/6/15,7.7875
8/5/15,8.02
8/4/15,7.3975
8/3/15,7.435
7/31/15,7.1825
7/30/15,7.1925
7/29/15,7.015
7/28/15,7.4725
7/27/15,7.505
7/24/15,7.15
7/23/15,7.015
7/22/15,7.01
7/21/15,6.975
7/20/15,7.25
7/17/15,7.175
7/16/15,7.71
7/15/15,7.67
7/14/15,8.06
7/13/15,8.295
7/10/15,8.36
7/9/15,9.28
7/8/15,9.915
7/7/15,8.5575
7/6/15,8
7/3/15,8.21
7/2/15,7.67
7/1/15,8.23
6/30/15,8.905
6/29/15,8.69
6/26/15,7.6375
6/25/15,7.3275
6/24/15,7.6275
6/23/15,7.69
6/22/15,7.4425
6/19/15,7.91
6/18/15,7.7375
6/17/15,7.915
6/16/15,8.6325
6/15/15,9.005
6/12/15,8.6525
6/11/15,8.6525
6/10/15,9.265
6/9/15,9.0325
6/8/15,8.675
6/5/15,8.5775
6/4/15,8.9
6/3/15,9.3175
6/2/15,9.31
6/1/15,9.005
5/29/15,8.8325
5/28/15,9.475
5/27/15,9.765
5/26/15,9.37
5/25/15,7.9175
5/22/15,7.6575
5/21/15,7.6375
5/20/15,8.2475
5/19/15,7.8875
5/18/15,7.175
5/15/15,6.765
5/14/15,6.72
5/13/15,6.7525
5/12/15,7.375
5/11/15,7.595
5/8/15,7.7875
5/7/15,8.3775
5/6/15,8.14
5/5/15,8.37
5/4/15,8.6075
5/1/15,8.395
4/30/15,8.01
4/29/15,8.03
4/28/15,7.9575
4/27/15,8.485
4/24/15,8.305
4/23/15,8.3125
4/22/15,8.51
4/21/15,8.46
4/20/15,8.2825
4/17/15,8.0775
4/16/15,8.005
4/15/15,8.19
4/14/15,8.41
4/13/15,8.525
4/10/15,8.08
4/9/15,8.125
4/8/15,7.97
4/7/15,8.4525
4/6/15,8.0075
4/3/15,8.6
4/2/15,9.2075
4/1/15,9.405
3/31/15,9.5
3/30/15,9.01
3/27/15,8.5675
3/26/15,8.555
3/25/15,8.25
3/24/15,8.595
3/23/15,8.6025
3/20/15,8.32
3/19/15,8.7875
3/18/15,8.9
3/17/15,9.0175
3/16/15,9.18
3/13/15,9.345
3/12/15,9.4675
3/11/15,9.785
3/10/15,9.7875
3/9/15,9.2375
3/6/15,9.06
3/5/15,9.035
3/4/15,8.5475
3/3/15,8.425
3/2/15,8.93
2/27/15,8.7
2/26/15,8.51
2/25/15,8.27
2/24/15,9.4425
2/23/15,9.565
2/20/15,10.19
2/19/15,9.8825
2/18/15,9.86
2/17/15,10.235
2/16/15,10.0825
2/13/15,10.73
2/12/15,11.255
